,weather_main,weather,wind
193,dry,"Sunny, 25 °C",False
194,dry,Sunny and warm,False
195,dry,Hot and sunny with temperatures reaching up to 22 °C (72 °F),False
196,dry,Cool and overcast with air temperatures reaching up to 16.0 °C (60.8 °F),False
197,dry,"Sunny, warm",False
198,wet,"Rain, Wet Track",False
199,dry,Sunny,False
200,dry,Cloudy but dry,False
201,dry,"Cloudy, hot, dry; 30 °C (86 °F)",False
202,wet,Cold and wet with rain becoming heavier,False
203,dry,Sunny,False
204,dry,"Cloudy, cold, dry",False
205,dry,Fine,False
206,dry,"Partly Cloudy, Dry",False
207,dry,Overcast and dry with temperatures reaching up to 23 °C (73 °F),False
208,dry,"Partially cloudy and dry, with temperatures reaching up to 21 °C (70 °F)",False
209,dry,"Cloudy, Dry, 17 °C",False
210,changing,"Overcast, cold and rain, air temperature 11 °C (52 °F)",False
211,dry,Clear,False
212,dry,Clear and mild with temperatures approaching 22.7 °C (72.9 °F),False
213,changing,"Dry at first, rain in closing stages",False
214,dry,"Sunny, Dry Track",False
215,dry,"Sunny, dry track",False
216,dry,"Sunny, Dry Track, 27°C",False
217,changing,"Wet, then drying out with temperatures reaching up to 28 °C (82 °F)",False
218,dry,Dry with temperatures reaching up to 29 °C (84 °F),False
219,dry,Sunny,False
220,dry,"Partially cloudy, mild and dry",False
221,dry,Sunny,False
222,dry,Sunny with temperatures reaching up to 25 °C (77 °F),False
223,dry,Dry with temperatures reaching up to 23 °C (73 °F),False
224,changing,"Thunderstorm, then drying with temperatures reaching up to 24 °C (75 °F)",False
225,dry,Dry with temperatures reaching up to 21 °C (70 °F),False
226,dry,"Cloudy, but dry",False
227,dry,Sunny,False
228,changing,"Overcast, mild, wet at first, drying later, light rain at finish",False
229,wet,Rain,False
230,dry,Mostly sunny and warm with temperatures approaching 26 °C (79 °F),False
231,dry,Dry,False
232,dry,Warm and sunny with temperatures reaching up to 25 °C (77 °F),False
233,dry,"Sunny, dry",False
234,dry,Sunny with temperatures reaching up to 27 °C (81 °F),False
235,dry,Overcast and dry with temperatures reaching up to 17 °C (63 °F),False
236,dry,Dry,False
237,dry,Mostly sunny with ambient temperatures reaching 25 °C during the day.,False
238,dry,"Sunny, mild and dry",False
239,dry,Overcast,False
240,dry,Cloudy,False
241,wet,"Heavy rain before the start, before brightening up",False
242,dry,Sunny,False
243,dry,"Warm, sunny",False
244,dry,"Cloudy at start, sunny later with temperatures reaching up to 24.3 °C (75.7 °F)",False
245,changing,"Cloudy, light drizzle at times",False
246,dry,"Warm, cloudy, windy",True
247,dry,"Sunny, 28 °C (82 °F)",False
248,dry,Sunny,False
249,changing,"Cloudy, then heavy rain",False
250,dry,Sunny,False
251,dry,Sunny,False
252,changing,"Rain, later dried out, air temperature 11 °C (52 °F)",False
253,dry,"Cloudy, dry",False
254,changing,"Rain, later dried out",False
255,dry,Sunny,False
256,dry,Sunny,False
257,dry,Sunny,False
258,dry,Sunny,False
